Asset sticker,Req/PO/Ticket No.,Serial No.,Date ordered,Type,Ordered By,Assigned email,Staff ID,Department,Date assigned,Date returned,e-wasted? Y/N,Cost
UOM000001,ER-60144,Xo21333XQ,14/08/2021,Desktop,Jack Anderson,david.brown@unimelb.edu.au,5741,Physio,6/12/2021,7/11/2022,Y,1773.7
UOM000002,qi-49637,xV79852uh,12/12/2020,Tablet,Ivy Taylor,carol.williams@unimelb.edu.au,6271,Social Work,13/06/2023,23/07/2024,N,624.71
UOM000003,Op-84786,Tc63630Ea,17/05/2022,Tablet,David Brown,frank.miller@unimelb.edu.au,3991,SHS,14/12/2023,26/04/2025,N,843.5
UOM000004,pf-98789,nO98812pD,16/08/2020,Tablet,Ivy Taylor,bob.smith@unimelb.edu.au,5312,SHS,14/09/2021,22/12/2023,Y,380.45
UOM000005,Oq-99520,tX43445dr,14/09/2023,Tablet,Ivy Taylor,carol.williams@unimelb.edu.au,6271,Nursing,3/03/2024,21/07/2024,N,1033.06
UOM000006,tT-54958,XK30903GK,9/03/2024,Tablet,Alice Johnson,alice.johnson@unimelb.edu.au,2417,SHS,16/10/2024,,N,478.23
UOM000007,sP-21570,cI71197pU,18/02/2022,Printer,Grace Wilson,bob.smith@unimelb.edu.au,5312,SHS,23/06/2023,7/11/2023,Y,580.44
UOM000008,lf-65823,SS28298Ad,17/09/2020,Server,Grace Wilson,henry.moore@unimelb.edu.au,6300,Nursing,5/04/2022,4/03/2024,Y,3716.47
UOM000009,ba-24695,gb34817sz,21/06/2022,Laptop,Emma Jones,carol.williams@unimelb.edu.au,6271,Nursing,24/09/2024,9/12/2024,N,1936.2
UOM000010,Sn-12867,Qe17900dB,30/10/2024,Laptop,Jack Anderson,jack.anderson@unimelb.edu.au,9503,SHS,26/03/2025,,N,1176.51
UOM000011,uq-74884,Oo83618Bp,9/11/2022,Monitor,Alice Johnson,frank.miller@unimelb.edu.au,3991,DOVS,17/01/2024,24/05/2024,N,237.14
UOM000012,Pi-91302,co25722Zw,2/09/2024,Laptop,Henry Moore,henry.moore@unimelb.edu.au,6300,DOVS,14/05/2025,15/05/2025,N,2133.89
UOM000013,uw-74692,Zt48814Ei,21/11/2022,Printer,Frank Miller,ivy.taylor@unimelb.edu.au,1354,DOVS,12/03/2024,,N,414.14
